site,session_num,subject_id,probe,time_to_first_spike_fl,time_to_first_spike_fl_n,mod_idx_dg,mod_idx_dg_n,timescale_ac,timescale_ac_n,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site4,4,810532,C,74.77931034482759,145,-0.17656644071410504,230,51.69582698523272,48,512,79,230,79,0.0,-10.0,0.0,10.0,10.0,20.0,1.15,0.2658227848101265,0.0,20.0,-10.0,15.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,E,73.02659574468085,188,-0.1570342231703853,252,41.88982192176871,44,463,80,252,80,-15.0,-20.0,10.0,0.0,-10.0,10.0,2.783333333333333,0.425,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,A,71.1023166023166,259,-0.07894377628646347,358,48.362392962981644,106,757,176,358,176,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.3166666666666669,0.3409090909090909,-20.0,-20.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,B,66.96404109589041,292,-0.0239793824438996,441,39.933114508720585,135,695,233,441,233,30.0,30.0,40.0,0.0,0.0,0.0,1.0333333333333334,0.6008583690987125,30.0,0.0,30.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,C,69.59643916913947,337,-0.05942159282108683,516,37.90378900722173,136,866,240,516,240,0.0,0.0,0.0,20.0,20.0,30.0,1.0750000000000002,0.4041666666666667,0.0,20.0,0.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,E,73.35766423357664,274,-0.10703069013796386,396,48.728169614480564,102,678,185,396,185,-20.0,-20.0,-20.0,10.0,0.0,10.0,1.2,0.3567567567567568,-20.0,10.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,A,70.05665024630542,203,-0.09393875320948894,320,47.51332299554242,72,609,111,320,111,-20.0,-30.0,-10.0,-20.0,-30.0,-20.0,1.8,0.5675675675675675,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,B,73.22051282051282,195,-0.1439325340642023,334,52.421433891377774,73,618,145,334,145,20.0,10.0,20.0,0.0,0.0,10.0,1.3166666666666669,0.5310344827586206,10.0,0.0,10.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,C,72.49428571428571,175,-0.08630609427458828,275,44.03108930881451,64,612,77,275,77,-10.0,-10.0,0.0,20.0,10.0,20.0,1.4833333333333334,0.2467532467532467,-10.0,10.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,E,76.99127906976744,172,-0.19648198757535523,280,57.15344239183213,34,514,87,280,87,-10.0,-30.0,-10.0,-10.0,-10.0,0.0,1.4166666666666667,0.4137931034482758,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,A,70.97429906542057,214,-0.16569089759035321,321,49.30776017427741,95,553,134,321,134,-30.0,-30.0,-15.0,-20.0,-25.0,-10.0,0.9333333333333332,0.582089552238806,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,B,72.65384615384616,247,-0.1399578719886335,321,53.12913472176032,120,608,136,321,136,40.0,30.0,40.0,10.0,0.0,20.0,1.3666666666666667,0.6691176470588235,30.0,10.0,40.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,C,64.3717277486911,382,-0.0944375029350894,538,38.721894652043474,155,818,205,538,205,-20.0,-20.0,-20.0,30.0,20.0,30.0,1.2,0.5707317073170731,-20.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,E,72.662,250,-0.139227250450431,359,49.08164534002608,86,533,143,359,143,-10.0,-20.0,-10.0,-10.0,-10.0,0.0,0.7,0.5384615384615384,-20.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,A,69.48516949152543,236,-0.03907420328776186,359,41.7650686668853,73,721,191,359,191,-20.0,-30.0,-10.0,-20.0,-30.0,-10.0,0.7166666666666667,0.4973821989528796,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,B,71.34730538922156,167,-0.10226817293787287,286,44.66352356811354,38,718,121,286,121,20.0,10.0,30.0,-10.0,-10.0,0.0,0.55,0.4132231404958678,20.0,-10.0,30.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,C,75.91810344827586,232,-0.10166920769193762,380,40.43637614785855,39,837,154,380,154,-15.0,-20.0,-10.0,5.0,0.0,10.0,0.975,0.3766233766233766,-10.0,0.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,E,75.72613065326634,199,-0.14444950638713686,307,36.3084787025264,44,649,119,307,119,-10.0,-20.0,0.0,-10.0,-10.0,-10.0,0.55,0.5126050420168067,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,A,71.74170616113744,211,-0.15110638929350986,323,44.547827545722974,86,554,131,323,131,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.6,0.3358778625954198,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,B,71.91908713692946,241,-0.10374597096106151,378,40.6315464137021,84,611,158,378,158,20.0,10.0,30.0,10.0,0.0,10.0,1.6166666666666667,0.5189873417721519,20.0,10.0,20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,C,70.5,234,-0.0657007167211332,411,44.11286945965877,112,609,190,411,190,10.0,10.0,20.0,20.0,20.0,30.0,1.7916666666666667,0.5421052631578948,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,E,73.93636363636364,275,-0.12614244913317005,425,40.61010018540919,90,629,190,425,190,-30.0,-40.0,-30.0,10.0,10.0,10.0,1.5666666666666669,0.6421052631578947,-30.0,10.0,-30.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
