ecephys_unit_id,ecephys_session_id,ecephys_structure_acronym,group,p_value_rf,snr,firing_rate_dg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,map_mean,map_max,threshold_azimuth_deg,threshold_elevation_deg,threshold_area_deg2,threshold_component_touches_edge,allen_success,allen_center_azimuth_deg,allen_center_elevation_deg,allen_sigma_x_deg,allen_sigma_y_deg,allen_rmse,corrected_success,corrected_at_bound,corrected_sigma_upper_bound,corrected_center_bound,corrected_baseline,corrected_center_azimuth_deg,corrected_center_elevation_deg,corrected_sigma_x_deg,corrected_sigma_y_deg,corrected_rmse,fit_exception,allen_major_sigma_deg,allen_halfmax_area_deg2,corrected_major_sigma_deg,corrected_halfmax_area_deg2,published_like_qc,allen_finite,corrected_censored
951858408,737581020,VISrl,HVA,0,2.339667,1.1283526,200,39.563988,531.66547,14.802469,80,10,5,200,True,False,49.880623,-2523.4584,39.56398,531.66549,11.442001,True,False,False,False,12.798592,13.715259,6.5917585,2.9937439,7.0152899,3.6628404,,531.66549,91610.188,7.0152899,91.467246,True,True,False
951858440,737581020,VISrl,HVA,0,1.2886172,6.2416803,400,34.208946,418.85794,72.444444,210,12.5,20,400,True,False,59.412864,-2027.8826,34.208946,418.85813,55.711849,True,False,False,False,57.291308,6.9255447,18.097468,16.000335,14.202046,15.795636,,418.85813,62403.935,16.000335,989.65841,True,True,False
951858448,737581020,VISrl,HVA,0,2.5888766,0.68145933,1000,45.037045,35.624663,3.4567901,15,55,35,1000,True,True,81.165895,21.65654,45.037044,35.624663,2.5635564,True,False,False,False,2.3457854,54.201707,32.024056,16.442539,13.626463,2.2610346,,45.037044,6987.5668,16.442539,975.79225,True,True,False
951858489,737581020,VISrl,HVA,0,1.1611612,2.4510297,200,21.728827,202.29199,16.530864,93,10,5,200,True,False,45.242656,-1207.3307,21.728828,202.29192,20.137773,True,False,False,False,12.644825,0.8817242,5.3840318,12.041805,9.7180622,5.8821652,,202.29192,19143.448,12.041805,509.65537,True,True,False
951858500,737581020,VISrl,HVA,0,1.8941281,1.6054271,1100,458.63553,54.898672,19.234568,54,38,-23,1000,True,False,-1907.4931,7.5882364,458.63448,54.898662,11.5991,True,False,False,False,15.246215,43.867775,-19.933986,31.282887,8.3732626,8.1052001,,458.63448,109656.35,31.282887,1140.793,True,True,False
951858537,737581020,VISrl,HVA,0,1.7831484,10.770446,400,445.92394,15875.248,118.8642,185,15,-25,400,True,True,-36.32341,-18107.065,445.94056,16519.605,22.399524,True,False,False,False,116.88756,73.676847,14.835992,2.6301587,7.2521723,20.245222,,16519.605,32083516,7.2521723,83.072141,True,True,False
951858566,737581020,VISrl,HVA,0,2.1515967,0.23986097,100,1.9001338,-14.862537,0.34567901,12,10,10,100,True,True,-0.51281704,69.317803,1.9001387,14.862424,1.4572086,True,True,False,False,0.15343284,7.4755892,8.5134788,2.0000044,4.9706546,0.44630438,,14.862424,122.99296,4.9706546,43.296209,True,True,False
951858596,737581020,VISrl,HVA,0,1.2306007,4.7373866,300,19.881999,6.0383125,39.888889,349,13.333,16.667,300,True,True,-38.913017,102.50133,19.882002,6.0383039,78.704715,True,False,False,False,8.1936622,5.4069581,17.219485,19.343462,11.937716,6.8667628,,19.882002,522.85396,19.343462,1005.6822,True,True,False
951859802,737581020,VISrl,HVA,0,1.2072548,1.5360633,100,14.564021,150.23821,10.234568,67,10,10,100,True,False,48.793269,-923.94841,14.564021,150.23824,14.6045,True,False,False,False,7.7621385,11.15316,10.150594,7.6376399,8.3117136,3.5511856,,150.23824,9529.4342,8.3117136,276.4745,True,True,False
951858615,737581020,VISrl,HVA,0,1.5836841,4.2306605,200,48.355847,872.95127,14.493827,42,10,5,200,True,False,39.844008,-3298.5575,48.355847,872.95112,6.3273391,True,False,False,False,13.482719,13.028794,5.2339077,3.2219889,9.0020645,4.2895387,,872.95112,183841.79,9.0020645,126.31982,True,True,False
951858624,737581020,VISrl,HVA,0,2.2733161,4.2465453,400,20.018398,166.3982,49.481481,222,12.5,20,400,True,False,56.138082,-887.73281,20.018398,166.398,75.36268,True,False,False,False,27.15759,6.5476851,17.598731,17.524298,14.456746,11.144043,,166.398,14507.172,17.524298,1103.3582,True,True,False
